Proto,Adresselocale,Adressedistante,État
TCP,0.0.0.0:135,AHMAD:0,LISTENING
TCP,0.0.0.0:445,AHMAD:0,LISTENING
TCP,172.17.1.125:139,AHMAD:0,LISTENING
UDP,0.0.0.0:123,:,0
UDP,0.0.0.0:500,:,0
UDP,172.17.1.125:137,:,0
UDP,172.17.1.125:138,:,0
